Short Name,Position,League Name,Club Name,Nationality,Age,Overall,Gross Annual Eur,Predicted Center Eur,Predicted Low Eur,Predicted High Eur,Status
Cristiano Ronaldo,Attacker,Saudi Pro League,Al Nassr,Portugal,40,85,208400000.0,5701045.0,4549313.0,7159783.0,overpaid
K. Benzema,Attacker,Saudi Pro League,Al Ittihad,France,37,85,122450000.0,6455452.0,4612818.0,8211823.0,overpaid
R. Mahrez,Midfielder,Saudi Pro League,Al Ahli SFC,Algeria,34,84,52200000.0,5948933.0,4780660.0,7425716.0,overpaid
S. Mané,Midfielder,Saudi Pro League,Al Nassr,Senegal,33,83,40000000.0,6187382.0,5020258.0,7816038.0,overpaid
K. Koulibaly,Defender,Saudi Pro League,Al Hilal,Senegal,34,82,34700000.0,5092902.0,4332230.0,6089314.0,overpaid
E. Haaland,Attacker,Premier League,Manchester City,Norway,24,90,31626269.0,13163999.0,12527643.0,13982307.0,overpaid
K. Mbappé,Attacker,La Liga,Real Madrid,France,26,91,31250000.0,13177382.0,12528121.0,13982307.0,overpaid
I. Toney,Attacker,Saudi Pro League,Al Ahli SFC,England,29,81,25510000.0,3924955.0,3230391.0,4645444.0,overpaid
S. Milinković-Savić,Midfielder,Saudi Pro League,Al Hilal,Serbia,30,84,25510000.0,6628169.0,5767080.0,7980359.0,overpaid
Vinícius Nogueira,Attacker,La Liga,Real Madrid,Brazil,24,89,25000000.0,13005427.0,12422398.0,13962966.0,overpaid
M. Brozović,Midfielder,Saudi Pro League,Al Nassr,Croatia,32,81,24200000.0,5062518.0,4278715.0,6212706.0,overpaid
M. Salah,Midfielder,Premier League,Liverpool,Egypt,33,91,24096205.0,13121469.0,12477439.0,13980469.0,overpaid
D. Núñez,Attacker,Saudi Pro League,Al Hilal,Uruguay,26,79,22450000.0,4113510.0,3547310.0,4735231.0,overpaid
V. van Dijk,Defender,Premier League,Liverpool,Netherlands,33,90,21084179.0,10924126.0,8764033.0,13641693.0,overpaid
Casemiro,Midfielder,Premier League,Manchester United,Brazil,33,80,21084179.0,6103047.0,4760628.0,8036378.0,overpaid
Rúben Neves,Midfielder,Saudi Pro League,Al Hilal,Portugal,28,84,20920000.0,6677589.0,5717917.0,7984819.0,overpaid
J. Oblak,Goalkeeper,La Liga,Atlético Madrid,Slovenia,32,88,20830000.0,8122910.0,5859901.0,12990361.0,overpaid
R. Lewandowski,Attacker,La Liga,FC Barcelona,Poland,36,88,20830000.0,9680684.0,7031231.0,13328535.0,overpaid
K. Coman,Midfielder,Saudi Pro League,Al Nassr,France,29,83,20410000.0,6318953.0,5546483.0,7534755.0,overpaid
T. Hernández,Defender,Saudi Pro League,Al Hilal,France,27,84,20410000.0,5909299.0,5208996.0,6655266.0,overpaid
J. Kimmich,Midfielder,Bundesliga,FC Bayern München,Germany,30,89,20000000.0,12708515.0,12272475.0,13933151.0,overpaid
Bernardo Silva,Midfielder,Premier League,Manchester City,Portugal,30,84,18072154.0,8975632.0,7262449.0,12119736.0,overpaid
Malcom,Attacker,Saudi Pro League,Al Hilal,Brazil,28,82,18000000.0,5926371.0,4904943.0,7279088.0,overpaid
João Félix,Midfielder,Saudi Pro League,Al Nassr,Portugal,25,79,17500000.0,4007249.0,3365612.0,4735231.0,overpaid
F. Valverde,Midfielder,La Liga,Real Madrid,Uruguay,26,89,16670000.0,13148773.0,12520006.0,13980469.0,overpaid
L. Martínez,Attacker,Serie A,Inter,Argentina,27,88,16670000.0,11001192.0,8446179.0,13753177.0,overpaid
Lamine Yamal,Midfielder,La Liga,FC Barcelona,Spain,17,89,16670000.0,10734513.0,8434613.0,13824924.0,overpaid
Raphinha,Midfielder,La Liga,FC Barcelona,Brazil,28,89,16670000.0,13168496.0,12527643.0,13980469.0,overpaid
K. Kvaratskhelia,Attacker,Ligue 1,Paris Saint-Germain,Georgia,24,87,16360000.0,11872215.0,11163016.0,13788243.0,overpaid
J. Koundé,Defender,La Liga,FC Barcelona,France,26,87,15630000.0,12944802.0,12406744.0,13972150.0,overpaid
M. Diaby,Midfielder,Saudi Pro League,Al Ittihad,France,25,84,15310000.0,5934472.0,5117521.0,6693705.0,overpaid
Rúben Dias,Defender,Premier League,Manchester City,Portugal,28,86,15060128.0,12289998.0,11960832.0,13832496.0,overpaid
W. Saliba,Defender,Premier League,Arsenal,France,24,87,15060128.0,12980625.0,12414144.0,13969139.0,overpaid
C. Gakpo,Midfielder,Premier League,Liverpool,Netherlands,26,84,15060128.0,8667387.0,7590103.0,9480590.0,overpaid
M. Guéhi,Defender,Premier League,Crystal Palace,England,24,82,15060128.0,6818039.0,5863931.0,8175617.0,overpaid
G. Donnarumma,Goalkeeper,Premier League,Manchester City,Italy,26,89,15060128.0,12642416.0,12288842.0,13939971.0,overpaid
T. Courtois,Goalkeeper,La Liga,Real Madrid,Belgium,33,89,15000000.0,9305655.0,6122903.0,13464883.0,overpaid
G. Wijnaldum,Attacker,Saudi Pro League,Al Ettifaq,Netherlands,34,78,15000000.0,3307277.0,2847237.0,3819031.0,overpaid
D. Rice,Midfielder,Premier League,Arsenal,England,26,87,14457723.0,13081413.0,12459306.0,13969139.0,overpaid
Fabinho,Midfielder,Saudi Pro League,Al Ittihad,Brazil,31,82,14000000.0,4713209.0,4256989.0,5204775.0,overpaid
M. Rashford,Attacker,La Liga,FC Barcelona,England,27,80,14000000.0,6744795.0,5595746.0,8423010.0,overpaid
F. Kessié,Midfielder,Saudi Pro League,Al Ahli SFC,Côte d'Ivoire,28,80,14000000.0,4880691.0,4267283.0,5599470.0,overpaid
T. Reijnders,Midfielder,Premier League,Manchester City,Netherlands,26,86,13855318.0,12914499.0,12351388.0,13929373.0,fair
J. Grealish,Midfielder,Premier League,Everton,England,29,80,13554115.0,6943383.0,5748161.0,8426397.0,overpaid
P. Foden,Midfielder,Premier League,Manchester City,England,25,85,13554115.0,10777447.0,8793549.0,13255740.0,overpaid
M. Olise,Midfielder,Bundesliga,FC Bayern München,France,23,86,13510000.0,8178700.0,5674870.0,12742704.0,overpaid
Y. Carrasco,Midfielder,Saudi Pro League,Al Shabab,Belgium,31,81,13000000.0,5397876.0,4273660.0,6905030.0,overpaid
